"title","year","points","journal","doi","issn","eissn","author","affiliation","employment"
"Insertion and extension theorems for completely distributive lattice valued functions",2013,9,"Commentationes Mathematicae","10.14708/cm.v53i2.801","2080-1211",,"Kubiak, Tomasz",TRUE,TRUE
"Integral Homology of Random Simplicial Complexes",2018,30,"DISCRETE & COMPUTATIONAL GEOMETRY","10.1007/s00454-017-9938-z","0179-5376","1432-0444","Łuczak, Tomasz",TRUE,TRUE
"Integrate-and-fire models with an almost periodic input function",2018,45,"JOURNAL OF DIFFERENTIAL EQUATIONS","10.1016/j.jde.2017.10.025","0022-0396",,"Nawrocki, Adam",TRUE,FALSE
"Integrate-and-fire models with an almost periodic input function",2018,45,"JOURNAL OF DIFFERENTIAL EQUATIONS","10.1016/j.jde.2017.10.025","0022-0396",,"Kasprzak, Piotr",TRUE,TRUE
"Inteligentne systemy e-learningowe jako przykład wykorzystania sztucznej inteligencji w kształceniu na odległość",2016,6,"EduAkcja. Magazyn edukacji elektronicznej",,"2081-870X",,"Marciniak, Jacek",TRUE,TRUE
"Intelligent Information Bypass for More Efficient Emergency Management",2017,11,"Computational Methods in Science and Technology","10.12921/cmst.2017.0000019","1505-0602","2353-9453","Vetulani, Zygmunt",TRUE,TRUE
"Interactive wood combustion for botanical tree models",2017,50,"ACM TRANSACTIONS ON GRAPHICS","10.1145/3130800.3130814","0730-0301",,"Pałubicki, Wojciech",TRUE,TRUE
"Interactive wood combustion for botanical tree models",2017,50,"ACM TRANSACTIONS ON GRAPHICS","10.1145/3130800.3130814","0730-0301",,"Jarząbek, Michał",TRUE,
"Internal Twists of $L$-Functions. II",2017,15,"Proceedings of the Steklov Institute of Mathematics","10.1134/S0081543817080089","0081-5438","1531-8605","Kaczorowski, Jerzy",TRUE,TRUE
"Interpolation of approximation numbers between Hilbert spaces",2015,30,"ANNALES ACADEMIAE SCIENTIARUM FENNICAE-MATHEMATICA","10.5186/aasfm.2015.4014","1239-629X",,"Szwedek, Radosław",TRUE,TRUE
"Interpolation of Fredholm operators",2016,45,"ADVANCES IN MATHEMATICS","10.1016/j.aim.2016.03.009","0001-8708",,"Mastyło, Mieczysław",TRUE,TRUE
"Interpolation of Hardy spaces on circular domains",2017,30,"MATHEMATISCHE NACHRICHTEN","10.1002/mana.201600199","0025-584X","1522-2616","Mleczko, Paweł",TRUE,TRUE
"Interpolation of Hardy spaces on circular domains",2017,30,"MATHEMATISCHE NACHRICHTEN","10.1002/mana.201600199","0025-584X","1522-2616","Szwedek, Radosław",TRUE,TRUE
"Interpolation of holomorphic functions and surjectivity of Taylor coefficient multipliers",2016,45,"ADVANCES IN MATHEMATICS","10.1016/j.aim.2016.02.028","0001-8708",,"Domański, Paweł",TRUE,TRUE
"Interpolation of multilinear operators acting between quasi-Banach spaces",2014,25,"PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY","10.1090/S0002-9939-2014-12083-1","0002-9939",,"Mastyło, Mieczysław",TRUE,TRUE
"Interpolation of multilinear operators acting between quasi-Banach spaces",2014,25,"PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY","10.1090/S0002-9939-2014-12083-1","0002-9939",,"Szwedek, Radosław",TRUE,TRUE
"Interpolative construction and factorization of operators",2013,40,"JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS","10.1016/j.jmaa.2012.11.036","0022-247X",,"Szwedek, Radosław",TRUE,TRUE
"Interpolative construction and factorization of operators",2013,40,"JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS","10.1016/j.jmaa.2012.11.036","0022-247X",,"Mastyło, Mieczysław",FALSE,TRUE
"Introduction. Arithmetic Methods in Mathematical Physics and Biology. Editors of the volume",2016,14,"BANACH CENTER PUBLICATIONS","10.4064/bc109-0-1","0137-6934",,"Banaszak, Grzegorz",TRUE,TRUE
"Invariant topological complexity",2015,30,"BULLETIN OF THE LONDON MATHEMATICAL SOCIETY","10.1112/blms/bdu090","0024-6093",,"Marzantowicz, Wacław",TRUE,TRUE
"Involutive Nonassociative Lambek Calculus: Sequent Systems and Complexity",2017,20,"Bulletin of the Section of Logic",,"0138-0680",,"Buszkowski, Wojciech",TRUE,TRUE
"Isomorphic scheduling problems",2014,30,"ANNALS OF OPERATIONS RESEARCH","10.1007/s10479-012-1222-2","0254-5330",,"Gawiejnowicz, Stanisław",TRUE,TRUE
"Iterated remainder operator, tests for multiple convergence of series and solutions of difference equations",2014,30,"Advances in Difference Equations","10.1186/1687-1847-2014-189","1687-1839","1687-1847","Migda, Janusz",TRUE,TRUE
"Joint universality and generalized strong recurrence with rational parameter",2016,20,"JOURNAL OF NUMBER THEORY","10.1016/j.jnt.2015.11.005","0022-314X",,"Pańkowski, Łukasz",TRUE,TRUE
"Joint universality for dependent L-functions",2018,25,"RAMANUJAN JOURNAL","10.1007/s11139-017-9886-5","1382-4090","1572-9303","Pańkowski, Łukasz",TRUE,TRUE
"Joint universality for Lerch zeta functions",2017,25,"JOURNAL OF THE MATHEMATICAL SOCIETY OF JAPAN","10.2969/jmsj/06910153","0025-5645",,"Pańkowski, Łukasz",TRUE,TRUE
"Jumps of ternary cyclotomic coefficients",2014,20,"ACTA ARITHMETICA","10.4064/aa163-3-2","0065-1036",,"Bzdęga, Bartłomiej",TRUE,TRUE
"Kahane–Salem–Zygmund polynomial inequalities via Rademacher processes",2017,40,"JOURNAL OF FUNCTIONAL ANALYSIS","10.1016/j.jfa.2017.01.019","0022-1236",,"Mastyło, Mieczysław",TRUE,TRUE
"Kahane–Salem–Zygmund polynomial inequalities via Rademacher processes",2017,40,"JOURNAL OF FUNCTIONAL ANALYSIS","10.1016/j.jfa.2017.01.019","0022-1236",,"Szwedek, Radosław",TRUE,TRUE
"Karolina Iwaszkiewicz-Gintowt (1902–1999)",2013,14,"Acta Universitatis Lodziensis Folia Oeconomica",,"0208-6018",,"Krzyśko, Mirosław",TRUE,TRUE
"Kilka słów o dowodzie w matematyce",2013,15,"Filozofia Nauki (Philosophy of Science)",,"1230-6894",,"Murawski, Roman",TRUE,TRUE
"Köthe dual of Banach lattices generated by vector measures",2014,25,"MONATSHEFTE FUR MATHEMATIK","10.1007/s00605-013-0560-8","0026-9255",,"Mastyło, Mieczysław",TRUE,TRUE
"Landau-type theorem for variable Lebesgue spaces",2016,9,"Commentationes Mathematicae","10.14708/cm.v55i2.1119","2080-1211",,"Wnuk, Witold",TRUE,TRUE
"Large values for L-functions from the Selberg class",2017,40,"JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS","10.1016/j.jmaa.2016.08.044","0022-247X",,"Pańkowski, Łukasz",TRUE,TRUE
"Leggett-Williams type theorems with applications to nonlinear differential and integral equations",2015,45,"NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS","10.1016/j.na.2014.11.006","0362-546X",,"Bugajewski, Dariusz",TRUE,TRUE
"Leggett-Williams type theorems with applications to nonlinear differential and integral equations",2015,45,"NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS","10.1016/j.na.2014.11.006","0362-546X",,"Kasprzak, Piotr",TRUE,TRUE
"Limit measures of inhomogeneous discrete-time quantum walks in one dimension",2013,40,"Quantum Information Processing","10.1007/s11128-011-0353-8","1570-0755",,"Łuczak, Tomasz",TRUE,TRUE
"Limiting embeddings in smoothness Morrey spaces, continuity envelopes and applications",2015,30,"JOURNAL OF APPROXIMATION THEORY","10.1016/j.jat.2014.12.006","0021-9045",,"Skrzypczak, Leszek",TRUE,TRUE
"Linear discriminant analysis with a generalization of the Moore–Penrose pseudoinverse",2013,25,"International Journal of Applied Mathematics and Computer Science","10.2478/amcs-2013-0035","1641-876X",,"Górecki, Tomasz",TRUE,TRUE
"Linear relations and arithmetic on abelian schemes",2015,14,"Functiones et Approximatio, Commentarii Mathematici","10.7169/facm/2015.52.1.7","0208-6573","2080-9433","Rzonsowski, Piotr",TRUE,TRUE
"Linkages between European national stock markets during trading and non-trading hours",2016,15,"Revista Espanola de Financiacion y Contabilidad-Spanish Journal of Finance and Accounting","10.1080/02102412.2016.1164458","0210-2412",,"Doman, Ryszard",TRUE,TRUE
"Local boundedness of nonautonomous superposition operators in BV[0,1]",2015,20,"BULLETIN OF THE AUSTRALIAN MATHEMATICAL SOCIETY","10.1017/S0004972715000593","0004-9727",,"Kasprzak, Piotr",TRUE,TRUE
"Loose Hamilton Cycles in Regular Hypergraphs",2015,25,"COMBINATORICS PROBABILITY & COMPUTING","10.1017/S0963548314000406","0963-5483",,"Ruciński, Andrzej",TRUE,TRUE
"Lower estimates related to the twisted Dedekind function",2016,20,"International Journal of Number Theory","10.1142/S1793042116501116","1793-0421",,"Kaczorowski, Jerzy",TRUE,TRUE
"Lower estimates related to the twisted Dedekind function",2016,20,"International Journal of Number Theory","10.1142/S1793042116501116","1793-0421",,"Wiertelak, Kazimierz",TRUE,TRUE
"M-constants in Orlicz-Lorentz sequence spaces with applications to fixed point theory",2018,25,"Journal of Fixed Point Theory and Applications","10.24193/fpt-ro.2018.1.11","1661-7738","1661-7746","Foralewski, Paweł",TRUE,TRUE
"M-constants in Orlicz-Lorentz sequence spaces with applications to fixed point theory",2018,25,"Journal of Fixed Point Theory and Applications","10.24193/fpt-ro.2018.1.11","1661-7738","1661-7746","Hudzik, Henryk",TRUE,
"M-constants, Dominguez-Benavides coefficient and weak fixed point property in Orlicz sequence spaces equipped with the p-Amemiya norm",2016,45,"Fixed Point Theory and Applications","10.1186/s13663-016-0576-6","1687-1820",,"Wisła, Marek",TRUE,TRUE
"M-constants, Dominguez-Benavides coefficient and weak fixed point property in Orlicz sequence spaces equipped with the p-Amemiya norm",2016,45,"Fixed Point Theory and Applications","10.1186/s13663-016-0576-6","1687-1820",,"Hudzik, Henryk",TRUE,TRUE
"Manipulative waiters with probabilistic intuition",2016,25,"COMBINATORICS PROBABILITY & COMPUTING","10.1017/S0963548315000310","0963-5483",,"Bednarska-Bzdęga, Małgorzata",TRUE,TRUE
"Manipulative waiters with probabilistic intuition",2016,25,"COMBINATORICS PROBABILITY & COMPUTING","10.1017/S0963548315000310","0963-5483",,"Łuczak, Tomasz",TRUE,TRUE
"Measure differential inclusions - between continuous and discrete",2014,30,"Advances in Difference Equations","10.1186/1687-1847-2014-56","1687-1839","1687-1847","Cichoń, Mieczysław",TRUE,TRUE
"Measure Differential Inclusions Through Selection Principles in the Space of Regulated Functions",2018,25,"Mediterranean Journal of Mathematics","10.1007/s00009-018-1192-y","1660-5446","1660-5454","Cichoń, Mieczysław",TRUE,TRUE
"Measures of Weak Noncompactness in Non-archimedean Banach Spaces",2014,30,"JOURNAL OF CONVEX ANALYSIS",,"0944-6532",,"Kąkol, Jerzy",TRUE,TRUE
"Menopausal status strongly influences the utility of predictive models in differential diagnosis of ovarian tumors: An external validation of selected diagnostic tools",2014,15,"Ginekologia Polska","10.17772/gp/1879","0017-0011",,"Dyczkowski, Krzysztof",TRUE,TRUE
"Menopausal status strongly influences the utility of predictive models in differential diagnosis of ovarian tumors: An external validation of selected diagnostic tools",2014,15,"Ginekologia Polska","10.17772/gp/1879","0017-0011",,"Stachowiak, Anna",TRUE,TRUE
"Menopausal status strongly influences the utility of predictive models in differential diagnosis of ovarian tumors: An external validation of selected diagnostic tools",2014,15,"Ginekologia Polska","10.17772/gp/1879","0017-0011",,"Wygralak, Maciej",TRUE,TRUE
"Menopausal status strongly influences the utility of predictive models in differential diagnosis of ovarian tumors: An external validation of selected diagnostic tools",2014,15,"Ginekologia Polska","10.17772/gp/1879","0017-0011",,"Wójtowicz, Andrzej",TRUE,FALSE
"Menopausal status strongly influences the utility of predictive models in differential diagnosis of ovarian tumors: An external validation of selected diagnostic tools",2014,15,"Ginekologia Polska","10.17772/gp/1879","0017-0011",,"Żywica, Patryk",TRUE,
"Methods of reducing dimension for functional data",2014,15,"STATISTICS IN TRANSITION",,"1234-7655",,"Górecki, Tomasz",TRUE,TRUE
"Methods of reducing dimension for functional data",2014,15,"STATISTICS IN TRANSITION",,"1234-7655",,"Krzyśko, Mirosław",TRUE,TRUE
"Methods of reducing dimension for functional data",2014,15,"STATISTICS IN TRANSITION",,"1234-7655",,"Wołyński, Waldemar",TRUE,TRUE
"Methods of reducing dimension for functional data",2014,15,"STATISTICS IN TRANSITION",,"1234-7655",,"Waszak, Łukasz",TRUE,FALSE
"Metrizable-like locally convex topologies on C(X)",2017,20,"TOPOLOGY AND ITS APPLICATIONS","10.1016/j.topol.2017.07.016","0166-8641",,"Kąkol, Jerzy",TRUE,TRUE
"Metrization conditions for topological vector spaces with Baire type properties",2014,20,"TOPOLOGY AND ITS APPLICATIONS","10.1016/j.topol.2014.05.007","0166-8641",,"Kąkol, Jerzy",TRUE,TRUE
"Mezocontinuous operators and solutions of difference equations",2016,30,"Electronic Journal of Qualitative Theory of Differential Equations","10.14232/ejqtde.2016.1.11","1417-3875",,"Migda, Janusz",TRUE,TRUE
"Minimal representation in a quotient space over a lattice of unbounded closed convex sets",2017,30,"JOURNAL OF CONVEX ANALYSIS",,"0944-6532",,"Grzybowski, Jerzy",TRUE,TRUE
"Minimal representation in a quotient space over a lattice of unbounded closed convex sets",2017,30,"JOURNAL OF CONVEX ANALYSIS",,"0944-6532",,"Przybycień, Hubert",TRUE,TRUE
"Minkowski-Radström-Hörmander cone",2014,25,"Pacific Journal of Optimization",,"1348-9151",,"Grzybowski, Jerzy",TRUE,TRUE
"Minkowski-Radström-Hörmander cone",2014,25,"Pacific Journal of Optimization",,"1348-9151",,"Urbański, Ryszard",TRUE,TRUE
"Mixed Hodge structures and Weierstrass <U+03C3>-function",2013,20,"COMPTES RENDUS MATHEMATIQUE","10.1016/j.crma.2013.07.015","1631-073X",,"Banaszak, Grzegorz",TRUE,TRUE
"Mixing in Random Digraphs with Application to the Forward-Secure Key Evolution in Wireless Sensor Networks",2015,40,"ACM Transactions on Sensor Networks","10.1145/2637482","1550-4859",,"Ren, Michał",TRUE,TRUE
"Mixing in Random Digraphs with Application to the Forward-Secure Key Evolution in Wireless Sensor Networks",2015,40,"ACM Transactions on Sensor Networks","10.1145/2637482","1550-4859",,"Rybarczyk-Krzywdzińska, Katarzyna",TRUE,TRUE
"Modeling crystal growth: Polyhedra with faces parallel to planes from a fixed finite set",2015,14,"Bulletin de la Société des sciences et des lettres de Łódź, Série: Recherches sur les deformations",,"0459-6854",,"Grzybowski, Jerzy",TRUE,TRUE
"Modeling crystal growth: Polyhedra with faces parallel to planes from a fixed finite set",2015,14,"Bulletin de la Société des sciences et des lettres de Łódź, Série: Recherches sur les deformations",,"0459-6854",,"Urbański, Ryszard",TRUE,TRUE
"Module sectional category of products",2017,15,"Journal of Homotopy and Related Structures","10.1007/s40062-017-0192-0","2193-8407",,"Carrasquel-Vera, José",TRUE,TRUE
"Monotonicity properties and dominated best approximation problems in Orlicz spaces equipped with the p-Amemiya norm",2015,40,"JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS","10.1016/j.jmaa.2015.07.004","0022-247X",,"Hudzik, Henryk",TRUE,TRUE
"Monotonicity properties and dominated best approximation problems in Orlicz spaces equipped with the p-Amemiya norm",2015,40,"JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS","10.1016/j.jmaa.2015.07.004","0022-247X",,"Wisła, Marek",TRUE,TRUE
"Mordell-Weil ranks of families of elliptic curves associated to Pythagorean triples",2013,20,"ACTA ARITHMETICA","10.4064/aa160-2-5","0065-1036",,"Naskręcki, Bartosz",TRUE,TRUE
"Morphological Plant Modeling: Unleashing Geometric and Topological Potential within the Plant Sciences",2018,40,"FRONTIERS IN PLANT SCIENCE","10.3389/fpls.2017.00900","1664-462X",,"Pałubicki, Wojciech",,TRUE
"Morrey Spaces on Domains: Different Approaches and Growth Envelopes",2018,35,"JOURNAL OF GEOMETRIC ANALYSIS","10.1007/s12220-017-9843-y","1050-6926","1559-002X","Skrzypczak, Leszek",TRUE,TRUE
"Morrey-type Space and Its Köthe Dual Space",2018,35,"Bulletin of the Malaysian Mathematical Sciences Society","10.1007/s40840-016-0382-7","0126-6705",,"Mastyło, Mieczysław",TRUE,TRUE
"Motywy wyboru żywności przez konsumentów - badania pilotażowe",2016,13,"Journal of Agribusiness and Rural Development","10.17306/JARD.2015.87","1899-5241",,"Górecki, Tomasz",TRUE,TRUE
"Multicolor Ramsey numbers and restricted Turan numbers for the loose 3-uniform path of length three",2017,25,"ELECTRONIC JOURNAL OF COMBINATORICS",,"1077-8926","1077-8926","Polcyn-Lewandowska, Joanna",TRUE,TRUE
"Multicolor Ramsey numbers and restricted Turan numbers for the loose 3-uniform path of length three",2017,25,"ELECTRONIC JOURNAL OF COMBINATORICS",,"1077-8926","1077-8926","Ruciński, Andrzej",TRUE,TRUE
"Multicolor Ramsey numbers and restricted Turan numbers for the loose 3-uniform path of length three",2017,25,"ELECTRONIC JOURNAL OF COMBINATORICS",,"1077-8926","1077-8926","Jackowska-Boryc, Eliza",TRUE,
"Multicoloring of cannonball graphs",2016,30,"ARS Mathematica Contemporanea",,"1855-3966",,"Witkowski, Rafał",TRUE,TRUE
"Multilinear integral operators in weighted grand Lebesgue spaces",2016,45,"Fractional Calculus and Applied Analysis","10.1515/fca-2016-0037","1311-0454",,"Mastyło, Mieczysław",TRUE,TRUE
"Multilinear paraproducts revisited",2015,35,"REVISTA MATEMATICA IBEROAMERICANA","10.4171/RMI/847","0213-2230",,"Mastyło, Mieczysław",TRUE,TRUE
"Multiplier projections on spaces of real analytic functions in several variables",2017,25,"Complex Variables and Elliptic Equations","10.1080/17476933.2016.1218854","1747-6933","1747-6941","Domański, Paweł",TRUE,TRUE
"Multivariate analysis of variance for functional data",2017,15,"JOURNAL OF APPLIED STATISTICS","10.1080/02664763.2016.1247791","0266-4763",,"Górecki, Tomasz",TRUE,TRUE
"Multivariate analysis of variance for functional data",2017,15,"JOURNAL OF APPLIED STATISTICS","10.1080/02664763.2016.1247791","0266-4763",,"Smaga, Łukasz",TRUE,TRUE
"Multivariate time series classification with parametric derivative dynamic time warping",2015,35,"EXPERT SYSTEMS WITH APPLICATIONS","10.1016/j.eswa.2014.11.007","0957-4174",,"Górecki, Tomasz",TRUE,TRUE
"Na marginesie artykułu prof. Adama Nowaczyka ,,Zrozumieć Tarskiego''",2014,11,"Przegląd Filozoficzny Nowa Seria",,"1230-1493",,"Murawski, Roman",TRUE,TRUE
"Necessary and sufficient conditions in the problem of D-optimal weighing designs with autocorrelated errors",2014,20,"STATISTICS S PROBABILITY LETTERS","10.1016/j.spl.2014.04.027","0167-7152",,"Smaga, Łukasz",TRUE,TRUE
"Networks for the weak topology of Banach and Fréchet spaces",2015,40,"JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS","10.1016/j.jmaa.2015.07.037","0022-247X",,"Kąkol, Jerzy",TRUE,TRUE
"New bounds in Balog-Szemerédi-Gowers theorem",2015,35,"COMBINATORICA","10.1007/s00493-014-3077-4","0209-9683",,"Schoen, Tomasz",TRUE,TRUE
"Nielsen-Reidemeister indices for multivalued maps",2018,15,"BULLETIN OF THE BELGIAN MATHEMATICAL SOCIETY-SIMON STEVIN",,"1370-1444",,"Przestacki, Adam",TRUE,TRUE
"Non-Archimedean Quantitative Grothendieck and Krein's Theorems",2013,30,"JOURNAL OF CONVEX ANALYSIS",,"0944-6532",,"Kąkol, Jerzy",TRUE,TRUE
"Non-isometric transforms in time series classification using DTW",2014,40,"KNOWLEDGE-BASED SYSTEMS","10.1016/j.knosys.2014.02.011","0950-7051",,"Górecki, Tomasz",TRUE,TRUE
"Non-squareness properties of Orlicz–Lorentz sequence spaces",2013,40,"JOURNAL OF FUNCTIONAL ANALYSIS","10.1016/j.jfa.2012.10.014","0022-1236",,"Foralewski, Paweł",TRUE,TRUE
"Non-squareness properties of Orlicz–Lorentz sequence spaces",2013,40,"JOURNAL OF FUNCTIONAL ANALYSIS","10.1016/j.jfa.2012.10.014","0022-1236",,"Hudzik, Henryk",TRUE,TRUE
"Nonautonomous superposition operators in the spaces of functions of bounded variation",2016,35,"Topological Methods in Nonlinear Analysis","10.12775/TMNA.2016.070","1230-3429",,"Bugajewska, Daria",TRUE,TRUE
"Nonautonomous superposition operators in the spaces of functions of bounded variation",2016,35,"Topological Methods in Nonlinear Analysis","10.12775/TMNA.2016.070","1230-3429",,"Bugajewski, Dariusz",TRUE,TRUE
"Nonautonomous superposition operators in the spaces of functions of bounded variation",2016,35,"Topological Methods in Nonlinear Analysis","10.12775/TMNA.2016.070","1230-3429",,"Kasprzak, Piotr",TRUE,TRUE
"Nonlinear Sturm-Liouville dynamic equation with a measure of noncompactness in Banach spaces",2013,15,"BULLETIN OF THE BELGIAN MATHEMATICAL SOCIETY-SIMON STEVIN","10.1515/math-2015-0002","1370-1444",,"Kubiaczyk, Ireneusz",TRUE,TRUE
"Nonlinear Sturm-Liouville dynamic equation with a measure of noncompactness in Banach spaces",2013,15,"BULLETIN OF THE BELGIAN MATHEMATICAL SOCIETY-SIMON STEVIN","10.1515/math-2015-0002","1370-1444",,"Sikorska-Nowak, Aneta",TRUE,TRUE
"Nonoscillatory Solutions to Second-Order Neutral Difference Equations",2018,30,"SYMMETRY","10.3390/sym10060207","2073-8994",,"Migda, Janusz",TRUE,TRUE
"Nonseparable closed vector subspaces of separable topological vector spaces",2017,25,"MONATSHEFTE FUR MATHEMATIK",,"0026-9255",,"Kąkol, Jerzy",TRUE,TRUE
"Norm estimates for matrix operators between Banach spaces",2013,30,"LINEAR ALGEBRA AND ITS APPLICATIONS","10.1016/j.laa.2012.09.002","0024-3795",,"Mleczko, Paweł",TRUE,TRUE
"Norm estimates for matrix operators between Banach spaces",2013,30,"LINEAR ALGEBRA AND ITS APPLICATIONS","10.1016/j.laa.2012.09.002","0024-3795",,"Mastyło, Mieczysław",FALSE,TRUE
"Norm estimates for random polynomials on the scale of Orlicz spaces",2017,30,"Banach Journal of Mathematical Analysis","10.1215/17358787-0000006X","1735-8787",,"Mastyło, Mieczysław",TRUE,TRUE
"Normed Orlicz function spaces which can be quasi-renormed with easily calculable quasinorms",2017,30,"Banach Journal of Mathematical Analysis","10.1215/17358787-2017-0009","1735-8787",,"Foralewski, Paweł",TRUE,TRUE
"Normed Orlicz function spaces which can be quasi-renormed with easily calculable quasinorms",2017,30,"Banach Journal of Mathematical Analysis","10.1215/17358787-2017-0009","1735-8787",,"Kaczmarek, Radosław",TRUE,TRUE
"Normowe pojęcie rodzina betonów na przykładzie ciągłej produkcji płyt Spiroll",2014,6,"Budownictwo i Architektura",,"1899-0665",,"Smaga, Łukasz",TRUE,TRUE
"Note: k-connectivity of uniform s-intersection graphs",2014,25,"DISCRETE MATHEMATICS","10.1016/j.disc.2014.06.014","0012-365X",,"Rybarczyk-Krzywdzińska, Katarzyna",TRUE,TRUE
"Nowe rozwiązania w zakresie systemów do strumieniowania obrazu ruchomego w sieciach bezprzewodowych",2016,9,"Przegląd Telekomunikacyjny + Wiadomości Telekomunikacyjne","10.15199/59.2016.6.100","1230-3496",,"Dyczkowski, Krzysztof",TRUE,TRUE
"O przedmiocie badań informatyki",2014,11,"Studia Philosophiae Christianae",,"0585-5470",,"Bondecka-Krzykowska, Izabela",TRUE,TRUE
"Obraz matematyki i logiki w polskich encyklopediach  okresu międzywojennego",2017,10,"Kwartalnik Historii Nauki i Techniki",,"0023-589X",,"Murawski, Roman",TRUE,TRUE
"Ocena zróżnicowania pozimu życia mieszkańców województw w latach 2003-2013 za pomocą składowych głównych dla wielowymiarowych danych funkcjonalnych oraz analizy skupień",2016,14,"PRZEGLĄD STATYSTYCZNY",,"0033-2372",,"Krzyśko, Mirosław",TRUE,TRUE
"Ocena zróżnicowania pozimu życia mieszkańców województw w latach 2003-2013 za pomocą składowych głównych dla wielowymiarowych danych funkcjonalnych oraz analizy skupień",2016,14,"PRZEGLĄD STATYSTYCZNY",,"0033-2372",,"Wołyński, Waldemar",TRUE,TRUE
"Omega theorems related to the general Euler totient function",2014,40,"JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS","10.1016/j.jmaa.2013.10.050","0022-247X",,"Kaczorowski, Jerzy",TRUE,TRUE
"Omega theorems related to the general Euler totient function",2014,40,"JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS","10.1016/j.jmaa.2013.10.050","0022-247X",,"Wiertelak, Kazimierz",TRUE,TRUE
"On  non-archimedean Gurarii spaces",2017,40,"JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS","10.1016/j.jmaa.2017.01.072","0022-247X",,"Kąkol, Jerzy",TRUE,TRUE
"On a certain family of inverse ternary cyclotomic polynomials",2014,20,"JOURNAL OF NUMBER THEORY","10.1016/j.jnt.2014.01.019","0022-314X",,"Bzdęga, Bartłomiej",TRUE,TRUE
"On a dynamical local–global principle in Mordell–Weil type groups",2017,35,"EXPOSITIONES MATHEMATICAE","10.1016/j.exmath.2016.07.001","0723-0869",,"Barańczuk, Stefan",TRUE,TRUE
"On a fixed point theorem for the product of operators",2016,25,"Journal of Fixed Point Theory and Applications","10.1007/s11784-016-0319-7","1661-7738",,"Cichoń, Mieczysław",TRUE,TRUE
"On a generalization of Beiter Conjecture",2016,20,"ACTA ARITHMETICA","10.4064/aa8119-1-2016","0065-1036",,"Bzdęga, Bartłomiej",TRUE,TRUE
"On a generalization of the Euler totient function",2013,25,"MONATSHEFTE FUR MATHEMATIK","10.1007/s00605-012-0417-6","0026-9255",,"Kaczorowski, Jerzy",TRUE,TRUE
"On a local similarity of graphs",2015,25,"DISCRETE MATHEMATICS","10.1016/j.disc.2015.01.016","0012-365X",,"Krzywdziński, Krzysztof",TRUE,TRUE
"On a local to global principle in étale K-groups of curves",2013,25,"Journal of K-Theory","10.1017/is013003030jkt13223","1865-2433",,"Banaszak, Grzegorz",TRUE,TRUE
"On Banach spaces of regulated functions",2017,9,"Commentationes Mathematicae","10.14708/cm.v57i2.4373","2080-1211",,"Drewnowski, Lech",TRUE,
"On Beurling type theorem for abstract  Hardy spaces",2013,40,"JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS","10.1016/j.jmaa.2012.12.061","0022-247X",,"Mleczko, Paweł",TRUE,TRUE
"On bounded lower <U+039B>-variation",2015,40,"JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS","10.1016/j.jmaa.2014.09.072","0022-247X",,"Bugajewska, Daria",TRUE,TRUE
"On bounded lower <U+039B>-variation",2015,40,"JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS","10.1016/j.jmaa.2014.09.072","0022-247X",,"Kasprzak, Piotr",TRUE,TRUE
"On Caffarelli-Kohn-Nirenberg Inequalities for Block-Radial Functions",2016,40,"Potential Analysis","10.1007/s11118-016-9535-4","0926-2601",,"Skrzypczak, Leszek",TRUE,TRUE
"On certain sequences in Mordell-Weil type groups.",2017,20,"New York Journal of Mathematics",,"1076-9803",,"Barańczuk, Stefan",TRUE,TRUE
"On Closed Subspaces of Non-Archimedean Nuclear Fréchet Spaces with a Schauder Basis",2015,35,"The Journal of Geometric Analysis",,"1050-6926",,"Śliwa, Wiesław",TRUE,TRUE
"On cohomological systems of Galois representations",2016,14,"BANACH CENTER PUBLICATIONS","10.4064/bc108-0-5","0137-6934",,"Gajda, Wojciech",TRUE,TRUE
"On Complex Explicit Formulae Connected with the Möbius Function of an  Elliptic Curve",2014,15,"CANADIAN MATHEMATICAL BULLETIN-BULLETIN CANADIEN DE MATHEMATIQUES","10.4153/CMB-2013-021-3","0008-4395",,"Łydka, Adrian",TRUE,TRUE
"On complex zeros off the critical line for non-monomial polynomial of zeta-functions",2016,35,"MATHEMATISCHE ZEITSCHRIFT","10.1007/s00209-016-1643-8","0025-5874",,"Pańkowski, Łukasz",TRUE,TRUE
